Name,ISIN,Symbol,Market,Currency,size,TickerYahoo,index
SBM OFFSHORE,NL0000360618,SBMO,Euronext Amsterdam,EUR,large-cap,SBMO.AS,
SCHNEIDER ELECTRIC,FR0000121972,SU,Euronext Paris,EUR,large-cap,SU.PA,
SCOR SE,FR0010411983,SCR,Euronext Paris,EUR,large-cap,SCR.PA,
SEGRO PLC,GB00B5ZN1N88,SGRO,Euronext Paris,EUR,large-cap,SGRO.PA,
SES,LU0088087324,SESG,Euronext Paris,EUR,large-cap,SESG.PA,
SHELL PLC,GB00BP6MXD84,SHELL,Euronext Amsterdam,EUR,large-cap,SHELL.AS,
SHURGARD,GG00BQZCBZ44,SHUR,Euronext Brussels,EUR,large-cap,SHUR.BR,
SIGNIFY NV,NL0011821392,LIGHT,Euronext Amsterdam,EUR,large-cap,LIGHT.AS,
SOCIETE GENERALE,FR0000130809,GLE,Euronext Paris,EUR,large-cap,GLE.PA,
SODEXO,FR0000121220,SW,Euronext Paris,EUR,large-cap,SW.PA,
SOFINA,BE0003717312,SOF,Euronext Brussels,EUR,large-cap,SOF.BR,
SOITEC,FR0013227113,SOI,Euronext Paris,EUR,large-cap,SOI.PA,
SOLVAC NOM(RETAIL),BE0003545531,SOLV,Euronext Brussels,EUR,large-cap,SOLV.BR,
SOLVAY,BE0003470755,SOLB,Euronext Brussels,EUR,large-cap,SOLB.BR,
SOPRA STERIA GROUP,FR0000050809,SOP,Euronext Paris,EUR,large-cap,SOP.PA,
SPIE,FR0012757854,SPIE,Euronext Paris,EUR,large-cap,SPIE.PA,
STEF,FR0000064271,STF,Euronext Paris,EUR,large-cap,STF.PA,
STELLANTIS NV,NL00150001Q9,STLAP,Euronext Paris,EUR,large-cap,STLAP.PA,
STMICROELECTRONICS,NL0000226223,STMPA,Euronext Paris,EUR,large-cap,STMPA.PA,
SYENSQO,BE0974464977,SYENS,Euronext Brussels,EUR,large-cap,SYENS.BR,
TECHNIP ENERGIES,NL0014559478,TE,Euronext Paris,EUR,large-cap,TE.PA,
TELEPERFORMANCE,FR0000051807,TEP,Euronext Paris,EUR,large-cap,TEP.PA,
TESSENDERLO,BE0003555639,TESB,Euronext Brussels,EUR,large-cap,TESB.BR,
TETRAGON FIN GRP,GG00B1RMC548,TFG,Euronext Amsterdam,USD,large-cap,TFG.AS,
TF1,FR0000054900,TFI,Euronext Paris,EUR,large-cap,TFI.PA,
THALES,FR0000121329,HO,Euronext Paris,EUR,large-cap,HO.PA,
TIKEHAU CAPITAL,FR0013230612,TKO,Euronext Paris,EUR,large-cap,TKO.PA,
TITAN CEMENT,BE0974338700,TITC,Euronext Brussels,EUR,large-cap,TITC.BR,
TKH GROUP,NL0000852523,TWEKA,Euronext Amsterdam,EUR,large-cap,TWEKA.AS,
TOTALENERGIES,FR0000120271,TTE,Euronext Paris,EUR,large-cap,TTE.PA,
TRIGANO,FR0005691656,TRI,Euronext Paris,EUR,large-cap,TRI.PA,
TUBIZE-FIN,BE0003823409,TUB,Euronext Brussels,EUR,large-cap,TUB.BR,
UBISOFT ENTERTAIN,FR0000054470,UBI,Euronext Paris,EUR,large-cap,UBI.PA,
UCB,BE0003739530,UCB,Euronext Brussels,EUR,large-cap,UCB.BR,
UMG,NL0015000IY2,UMG,Euronext Amsterdam,EUR,large-cap,UMG.AS,
UMICORE,BE0974320526,UMI,Euronext Brussels,EUR,large-cap,UMI.BR,
UNIBAIL-RODAMCO-WE,FR0013326246,URW,Euronext Paris,EUR,large-cap,URW.PA,
UNILEVER,GB00B10RZP78,UNA,Euronext Amsterdam,EUR,large-cap,UNA.AS,
V LANSCHOT KEMPEN,NL0000302636,VLK,Euronext Amsterdam,EUR,large-cap,VLK.AS,
VALEO,FR0013176526,FR,Euronext Paris,EUR,large-cap,FR.PA,
VALLOUREC,FR0013506730,VK,Euronext Paris,EUR,large-cap,VK.PA,
VEOLIA ENVIRON.,FR0000124141,VIE,Euronext Paris,EUR,large-cap,VIE.PA,
VERALLIA,FR0013447729,VRLA,Euronext Paris,EUR,large-cap,VRLA.PA,
VGP,BE0003878957,VGP,Euronext Brussels,EUR,large-cap,VGP.BR,
VICAT,FR0000031775,VCT,Euronext Paris,EUR,large-cap,VCT.PA,
VINCI,FR0000125486,DG,Euronext Paris,EUR,large-cap,DG.PA,
VIOHALCO,BE0974271034,VIO,Euronext Brussels,EUR,large-cap,VIO.BR,
VIRBAC,FR0000031577,VIRP,Euronext Paris,EUR,large-cap,VIRP.PA,
VIVENDI SE,FR0000127771,VIV,Euronext Paris,EUR,large-cap,VIV.PA,
VOLTALIA,FR0011995588,VLTSA,Euronext Paris,EUR,large-cap,VLTSA.PA,
VOPAK,NL0009432491,VPK,Euronext Amsterdam,EUR,large-cap,VPK.AS,
VusionGroup,FR0010282822,VU,Euronext Paris,EUR,large-cap,VU.PA,
WAVESTONE,FR0013357621,WAVE,Euronext Paris,EUR,large-cap,WAVE.PA,
WDP,BE0974349814,WDP,Euronext Brussels,EUR,large-cap,WDP.BR,
WENDEL,FR0000121204,MF,Euronext Paris,EUR,large-cap,MF.PA,
WOLTERS KLUWER,NL0000395903,WKL,Euronext Amsterdam,EUR,large-cap,WKL.AS,
WORLDLINE,FR0011981968,WLN,Euronext Paris,EUR,large-cap,WLN.PA,
XIOR,BE0974288202,XIOR,Euronext Brussels,EUR,large-cap,XIOR.BR,
