ETF;ISIN;TER;AUM;Perf. 5 ans;Catégorie;ETF recommandé;Frais;Encours
AMUNDI STOXX EUROPE 600 TECHNOLOGY (Acc);LU1834988518;0.003;155.0;0.4;;;;
ISHARES STOXX EUROPE 600 TECH (DE) Dist;DE000A0H08Q4;0.0046;183.0;0.39020000000000005;;;;
ISHARES STOXX EUROPE 600 TECH (DE) Acc;DE000A2QP398;0.0039000000000000003;16.0;;;;;
AMUNDI STOXX 600 INDUSTRIALS;LU1834987890;0.003;387.0;0.9443;;;;
AMUNDI STOXX EUROPE 600 BASIC RESOURCES;LU1834983550;0.003;442.0;0.7578;;;;
AMUNDI STOXX EUROPE 600 UTILITIES (Acc);LU1834988864;0.003;169.0;0.9490999999999999;;;;
AMUNDI STOXX EUROPE 600 UTILITIES (Dist);LU2082999215;0.003;21.0;0.9481999999999999;;;;
AMUNDI STOXX EUROPE 600 INSURANCE;LU1834987973;0.003;134.0;1.1384;;;;
AMUNDI PEA EAU;FR0011882364;0.006;121.0;0.5361;;;;
LYXOR PEA IMMOBILIER EUROPE;FR0011869304;0.004;32.0;-0.024700000000000003;;;;
AMUNDI STOXX EUROPE 600 TELECOM (Acc);LU1834988609;0.003;42.0;0.7846;;;;
AMUNDI STOXX EUROPE 600 TELECOM (Dist);LU2082999058;0.003;3.0;0.7854000000000001;;;;
AMUNDI STOXX EUROPE 600 CONSUMER STAPLES;LU1834985845;0.003;71.0;0.2522;;;;
AMUNDI STOXX EUROPE 600 CONS. DISCRET. (Acc);LU1834988781;0.003;97.0;-0.08259999999999999;;;;
AMUNDI STOXX EUROPE 600 CONS. DISCRET. (Dist);LU2082999132;0.003;14.0;-0.0832;;;;
AMUNDI STOXX EUROPE 600 BASIC MATERIALS (Acc);LU1834983634;0.003;18.0;0.5085000000000001;;;;
AMUNDI STOXX EUROPE 600 BASIC MATERIALS (Dist);LU2082996542;0.003;12.0;0.5085000000000001;;;;
AMUNDI MSCI EMU CPA;LU2182388582;0.0015;261.0;0.5660000000000001;;;;
AMUNDI MSCI EUROPE INFO TECH;IE000E5L6HK1;;;;;;;
BNP EASY BLOOMBERG EUROPE DEFENSE;LU2572257041;;;;;;;
AMUNDI MSCI EMU SMALL CAP ESG;LU1598689153;0.004;347.0;0.4424;;;;
ISHARES EURO STOXX SMALL;IE00B02KXM00;;;;;;;
AMUNDI MSCI USA DAILY (X2) LEVERAGED;FR0010755611;;;;;;;
AMUNDI NASDAQ 100 DAILY 2X LEVERAGED;FR0010342592;;;;;;;
AMUNDI EURO STOXX 50 2X LEVERAGE;FR0010468983;;;;;;;
AMUNDI CAC 40 DAILY 2X LEVERAGED;FR0010592014;;;;;;;
AMUNDI DAX DAILY (2X) LEVERAGED;LU0252634307;;;;;;;
AMUNDI CAC 40 DAILY -1X INVERSE;FR0010591362;;;;;;;
AMUNDI EURO STOXX 50 DAILY -1X INVERSE;FR0010424135;;;;;;;
AMUNDI S&P 500 DAILY (-2X) INVERSE;LU1327051279;;;;;;;
AMUNDI CAC 40 DAILY (-2X) INVERSE;FR0010411884;;;;;;;
ISHARES DIVERSIFIED COMMODITY SWAP;DE000A0H0728;0.0046;256.0;0.6605;;;;
AMUNDI PEA EURO COURT TERME;FR0013346681;0.0025;188.0;-0.10369999999999999;;;;
AMUNDI EUR OVERNIGHT RETURN (€STR);FR0014008VX5;;;;;;;
GS EUR HIGH YIELD BOND;IE000UZ4RXE6;;;;;;;
GS EUR INVESTMENT GRADE CORP BOND (Dist);IE000XTJ8627;;;;;;;
GS EUR INVESTMENT GRADE CORP BOND (Acc);IE000O6GI299;0.0025;6.0;;;;;
GS EUR GOVERNMENT BOND;IE000TYQJAI3;;;;;;;
GS EUR GOVERNMENT BOND (Acc);IE000Q2JGE04;;;;;;;
GS GLOBAL GOV BOND EUR H (Acc);IE000FRX67F3;0.002;7.0;;;;;
GS GLOBAL GOV BOND USD (Acc);IE000JQ3ELQ8;0.002;1.0;;;;;
GS USD HY BOND;IE000D2IVRK9;;;;;;;
GS USD IG CORP BOND (Dist);IE000RRCJI06;0.0025;20.0;;;;;
GS EM HARD CURRENCY BOND EUR H;IE000UZO4IC7;0.0045000000000000005;18.0;;;;;
GS EM HARD CURRENCY BOND USD;IE000FQPFV44;;;;;;;
GS EM GREEN & SOCIAL BOND (Dist);IE000EC86C06;0.0055000000000000005;1.0;;;;;
GS EM GREEN & SOCIAL BOND EUR H;IE000FKD2Q57;;;;;;;
GS CHINA GOV BOND USD (Dist);IE00BJSBCS90;0.0024;53.0;0.114;;;;
GS CHINA GOV BOND USD (Acc);IE00BJSBC011;0.0024;50.0;;;;;
iShares EURO STOXX (DE);DE000A0D8Q07;0.002;;0.8395999999999999;;;;
Amundi MSCI EMU ESG Selection DR – EUR (C);LU1602144575;0.0025;;0.6724;;;;
Amundi DAX II Acc;LU0252633754;0.0015;;0.7862;;;;
iShares Euro Dividend;IE00B0M62S72;0.004;;0.7256;;;;
iShares MSCI EMU Paris-Aligned Climate EUR (Acc);IE00BL6K8D99;0.0015;;;;;;
Vanguard FTSE Developed Europe ex UK (EUR) Accumulating;IE00BK5BQY34;0.001;;0.7609999999999999;;;;
BNP Paribas Easy STOXX Europe 600;FR0011550193;0.0019;;0.7906;;;;
iShares MSCI EMU Paris-Aligned Climate EUR (Dist);IE000FOSCLU1;0.0015;661.0;;;;;
iShares Core MSCI EMU USD Hedged (Acc);IE00BKBF6616;0.0015;629.0;1.089;;;;
