Name,Isin,TickerYahoo,Market,Currency
AMUNDI JPM GBI H E,LU1708330235,GOVH.PA,Euronext Paris,EUR
AMUNDI JPNK CHF HD,LU1681047665,JPHC.PA,Euronext Paris,CHF
AMUNDI JPNK EUR HD,LU1681039134,JPHE.PA,Euronext Paris,EUR
AMUNDI JPNK GBP HD,LU1681039308,JPHG.PA,Euronext Paris,GBP
AMUNDI JPNK USD HD,LU1681039217,JPHU.PA,Euronext Paris,USD
AMUNDI JPX4 ETF,LU2233156749,JPX4.PA,Euronext Paris,EUR
AMUNDI JPXH ETF,LU2269164310,JPXH.PA,Euronext Paris,EUR
AMUNDI JPXNK 400,LU1681038912,JPNK.PA,Euronext Paris,EUR
AMUNDI JPXNK 400,LU1681039050,JPNY.PA,Euronext Paris,JPY
AMUNDI LOW RAT 1-3,LU1681046345,X13G.PA,Euronext Paris,EUR
AMUNDI LW RATED D,LU1681046857,X1GD.PA,Euronext Paris,EUR
AMUNDI LY DURA 25Y,LU1686832194,MTH.PA,Euronext Paris,EUR
AMUNDI MSC WTEC,LU0533033667,TNOW.PA,Euronext Paris,EUR
AMUNDI MSCI BRAZIL,LU1900066207,RIO.PA,Euronext Paris,EUR
AMUNDI MSCI BRAZIL,LU1437024992,BRZ.PA,Euronext Paris,USD
Amundi MSCI CHINA,LU2343997487,CNEG.PA,Euronext Paris,EUR
AMUNDI MSCI EM DR,LU1437017350,AEME.PA,Euronext Paris,EUR
AMUNDI MSCI EM PEA,FR0011440478,PLEM.PA,Euronext Paris,EUR
AMUNDI MSCI EM SRI,LU1861138961,EMSRI.PA,Euronext Paris,EUR
Amundi MSCI Energy,FR0014002CG3,NRJC.PA,Euronext Paris,EUR
AMUNDI MSCI EU ESG,LU1940199984,ESGH.PA,Euronext Paris,EUR
AMUNDI MSCI EU SRI,LU1861137484,EUSRI.PA,Euronext Paris,EUR
AMUNDI MSCI EUR,FR0010261198,MEU.PA,Euronext Paris,EUR
AMUNDI MSCI EUR DR,LU1437015735,CEU2.PA,Euronext Paris,EUR
AMUNDI MSCI EURMOM,LU1681041460,MCEU.PA,Euronext Paris,EUR
AMUNDI MSCI EUROPE,LU1681042609,CEU.PA,Euronext Paris,EUR
AMUNDI MSCI EURQUA,LU1681041890,QCEU.PA,Euronext Paris,EUR
AMUNDI MSCI GREECE,FR0010405431,GRE.PA,Euronext Paris,EUR
AMUNDI MSCI JAP E,LU1602144732,CJ1.PA,Euronext Paris,EUR
AMUNDI MSCI Korea,LU1900066975,KRW.PA,Euronext Paris,EUR
AMUNDI MSCI SEMICO,LU1900066033,CHIP.PA,Euronext Paris,EUR
AMUNDI MSCI SWITZ,LU1681044993,CSWC.PA,Euronext Paris,CHF
AMUNDI MSCI TURKEY,LU1900067601,TUR.PA,Euronext Paris,EUR
Amundi MSCI W Dist,LU2655993207,EWLD.PA,Euronext Paris,EUR
Amundi MSCI Water,FR0014002CH1,WATC.PA,Euronext Paris,EUR
AMUNDI MSCI WDH,FR0011660927,WLDH.PA,Euronext Paris,EUR
AMUNDI MSCI WOR,FR0010315770,WLD.PA,Euronext Paris,EUR
Amundi MSCI World,IE000BI8OT95,MWRD.PA,Euronext Paris,EUR
Amundi MSCIEmBroad,LU2109787049,CLEM.PA,Euronext Paris,EUR
Amundi MSCINorthAm,IE000MYCJA42,NRAM.PA,Euronext Paris,EUR
Amundi MSCIUSAESG,IE000PEAJOT0,SADU.PA,Euronext Paris,USD
AMUNDI MSCIW FINAN,LU0533032859,FINSW.PA,Euronext Paris,EUR
AMUNDI MSCIWL ENYU,LU1681046188,CWEU.PA,Euronext Paris,USD
AMUNDI NASDAQ 100,LU1829221024,UST.PA,Euronext Paris,EUR
AMUNDI NDXH EUR HD,LU1681038599,NDXH.PA,Euronext Paris,EUR
AMUNDI NEW ENER,FR0010524777,NRJ.PA,Euronext Paris,EUR
Amundi NSDQ LEV,FR0010342592,LQQ.PA,Euronext Paris,EUR
Amundi NYSE Arca G,LU2611731824,GLDM.PA,Euronext Paris,EUR
AMUNDI PEA EM ALAT,FR0013412004,PALAT.PA,Euronext Paris,EUR
AMUNDI PEA EUROPE,FR0013412038,PCEU.PA,Euronext Paris,EUR
AMUNDI PEA MSCI EM,FR0013412020,PAEEM.PA,Euronext Paris,EUR
AMUNDI PEA NASDAQ,FR0013412269,PANX.PA,Euronext Paris,EUR
AMUNDI PEA OBLI,FR0013346681,OBLI.PA,Euronext Paris,EUR
AMUNDI PEA SP500,FR0013412285,PE500.PA,Euronext Paris,EUR
AMUNDI PEA SP500 H,FR0013412293,P500H.PA,Euronext Paris,EUR
AMUNDI PEA TOPIX,FR0013411980,PTPXE.PA,Euronext Paris,EUR
AMUNDI PEA TOPIX H,FR0013411998,PTPXH.PA,Euronext Paris,EUR
AMUNDI PHYS GOLD,FR0013416716,GOLD.PA,Euronext Paris,EUR
AMUNDI RUSSEL 2000,LU1681038839,RS2U.PA,Euronext Paris,USD
AMUNDI RUSSEL 2K,LU1681038672,RS2K.PA,Euronext Paris,EUR
AMUNDI S&P BBck EU,LU1681048127,BYBE.PA,Euronext Paris,EUR
AMUNDI S&P BBck US,LU1681048556,BYBU.PA,Euronext Paris,USD
Amundi S&P Co Disc,IE000NM0ALX6,CODW.PA,Euronext Paris,EUR
Amundi S&P Co Serv,IE000EFHIFG3,TELW.PA,Euronext Paris,EUR
Amundi S&P Co Stap,IE000ZIJ5B20,COSW.PA,Euronext Paris,EUR
Amundi S&P Enrgy,IE000J0LN0R5,NRGW.PA,Euronext Paris,EUR
Amundi S&P Indust,IE000LTA2082,INDW.PA,Euronext Paris,EUR
Amundi S&P Mat,IE000FCGBU62,MATW.PA,Euronext Paris,EUR
Amundi S&P500 ETF,IE000KXCEXR3,S500.PA,Euronext Paris,EUR
Amundi S&P500 Hdg,IE00058MW3M8,S500H.PA,Euronext Paris,EUR
AMUNDI SMALL CAP,LU1598689153,MMS.PA,Euronext Paris,EUR
AMUNDI SMART CITY,LU2037748345,SCITY.PA,Euronext Paris,EUR
AMUNDI SMART USD,LU1602145200,SMRU.PA,Euronext Paris,USD
